Brand	Color Type	Scale	Hex Value	Color Name
Jupiter	Primary	10	#061b2c	brand.primary.10
Jupiter	Primary	20	#162b3d	brand.primary.20
Jupiter	Primary	30	#273c50	brand.primary.30
Jupiter	Primary	40	#384f63	brand.primary.40
Jupiter	Primary	50	#4b6176	brand.primary.50
Jupiter	Primary	60	#5d758a	brand.primary.60
Jupiter	Primary	70	#71899f	brand.primary.70
Jupiter	Primary	80	#859eb4	brand.primary.80
Jupiter	Primary	90	#9ab3ca	brand.primary.90
Jupiter	Primary	100	#afc8e0	brand.primary.100
Jupiter	Secondary	10	#3b1d00	brand.secondary.10
Jupiter	Secondary	20	#572e00	brand.secondary.20
Jupiter	Secondary	30	#753f00	brand.secondary.30
Jupiter	Secondary	40	#945100	brand.secondary.40
Jupiter	Secondary	50	#b26612	brand.secondary.50
Jupiter	Secondary	60	#cc7e33	brand.secondary.60
Jupiter	Secondary	70	#e7964e	brand.secondary.70
Jupiter	Secondary	80	#ffb16e	brand.secondary.80
Jupiter	Secondary	90	#ffd5b4	brand.secondary.90
Jupiter	Secondary	100	#fff7f0	brand.secondary.100
Jupiter	Tertiary	10	#000a15	brand.tertiary.10
Jupiter	Tertiary	20	#031421	brand.tertiary.20
Jupiter	Tertiary	30	#0c1e2c	brand.tertiary.30
Jupiter	Tertiary	40	#162937	brand.tertiary.40
Jupiter	Tertiary	50	#213443	brand.tertiary.50
Jupiter	Tertiary	60	#2c404f	brand.tertiary.60
Jupiter	Tertiary	70	#384c5b	brand.tertiary.70
Jupiter	Tertiary	80	#445867	brand.tertiary.80
Jupiter	Tertiary	90	#506474	brand.tertiary.90
Jupiter	Tertiary	100	#5c7181	brand.tertiary.100
Jupiter	Neutral	10	#252623	brand.neutral.10
Jupiter	Neutral	20	#393a37	brand.neutral.20
Jupiter	Neutral	30	#4e4f4c	brand.neutral.30
Jupiter	Neutral	40	#646562	brand.neutral.40
Jupiter	Neutral	50	#7b7c78	brand.neutral.50
Jupiter	Neutral	60	#929490	brand.neutral.60
Jupiter	Neutral	70	#abaca8	brand.neutral.70
Jupiter	Neutral	80	#c4c5c1	brand.neutral.80
Jupiter	Neutral	90	#dddfdb	brand.neutral.90
Jupiter	Neutral	100	#f8f9f5	brand.neutral.100
Spring	Primary	10	#003414	brand.primary.10
Spring	Primary	20	#004b20	brand.primary.20
Spring	Primary	30	#00642d	brand.primary.30
Spring	Primary	40	#227b41	brand.primary.40
Spring	Primary	50	#3d9357	brand.primary.50
Spring	Primary	60	#56ab6d	brand.primary.60
Spring	Primary	70	#6fc385	brand.primary.70
Spring	Primary	80	#88dd9c	brand.primary.80
Spring	Primary	90	#a1f6b5	brand.primary.90
Spring	Primary	100	#eaffee	brand.primary.100
Spring	Secondary	10	#00170b	brand.secondary.10
Spring	Secondary	20	#002715	brand.secondary.20
Spring	Secondary	30	#0e3623	brand.secondary.30
Spring	Secondary	40	#1f4531	brand.secondary.40
Spring	Secondary	50	#2e5540	brand.secondary.50
Spring	Secondary	60	#3e654f	brand.secondary.60
Spring	Secondary	70	#4e765f	brand.secondary.70
Spring	Secondary	80	#5f8770	brand.secondary.80
Spring	Secondary	90	#709881	brand.secondary.90
Spring	Secondary	100	#81aa92	brand.secondary.100
Spring	Tertiary	10	#00191e	brand.tertiary.10
Spring	Tertiary	20	#002930	brand.tertiary.20
Spring	Tertiary	30	#003b43	brand.tertiary.30
Spring	Tertiary	40	#0c4c56	brand.tertiary.40
Spring	Tertiary	50	#235d68	brand.tertiary.50
Spring	Tertiary	60	#366f7a	brand.tertiary.60
Spring	Tertiary	70	#49828d	brand.tertiary.70
Spring	Tertiary	80	#5c95a0	brand.tertiary.80
Spring	Tertiary	90	#6ea8b3	brand.tertiary.90
Spring	Tertiary	100	#82bcc7	brand.tertiary.100
Spring	Neutral	10	#242626	brand.neutral.10
Spring	Neutral	20	#38393a	brand.neutral.20
Spring	Neutral	30	#4d4e4f	brand.neutral.30
Spring	Neutral	40	#636465	brand.neutral.40
Spring	Neutral	50	#7a7b7c	brand.neutral.50
Spring	Neutral	60	#919393	brand.neutral.60
Spring	Neutral	70	#aaacac	brand.neutral.70
Spring	Neutral	80	#c3c5c5	brand.neutral.80
Spring	Neutral	90	#dcdedf	brand.neutral.90
Spring	Neutral	100	#f7f9f9	brand.neutral.100
Gold	Primary	10	#353200	brand.primary.10
Gold	Primary	20	#4a4500	brand.primary.20
Gold	Primary	30	#605a00	brand.primary.30
Gold	Primary	40	#776f00	brand.primary.40
Gold	Primary	50	#8f8600	brand.primary.50
Gold	Primary	60	#a79d00	brand.primary.60
Gold	Primary	70	#bfb424	brand.primary.70
Gold	Primary	80	#d7cc46	brand.primary.80
Gold	Primary	90	#efe562	brand.primary.90
Gold	Primary	100	#fffcc5	brand.primary.100
Gold	Secondary	10	#251900	brand.secondary.10
Gold	Secondary	20	#3a2900	brand.secondary.20
Gold	Secondary	30	#503900	brand.secondary.30
Gold	Secondary	40	#674b00	brand.secondary.40
Gold	Secondary	50	#805e00	brand.secondary.50
Gold	Secondary	60	#997100	brand.secondary.60
Gold	Secondary	70	#b18518	brand.secondary.70
Gold	Secondary	80	#c89b37	brand.secondary.80
Gold	Secondary	90	#dfb150	brand.secondary.90
Gold	Secondary	100	#f6c868	brand.secondary.100
Gold	Tertiary	10	#1b0900	brand.tertiary.10
Gold	Tertiary	20	#2a1402	brand.tertiary.20
Gold	Tertiary	30	#38200d	brand.tertiary.30
Gold	Tertiary	40	#462d1a	brand.tertiary.40
Gold	Tertiary	50	#543b27	brand.tertiary.50
Gold	Tertiary	60	#634935	brand.tertiary.60
Gold	Tertiary	70	#725743	brand.tertiary.70
Gold	Tertiary	80	#826652	brand.tertiary.80
Gold	Tertiary	90	#927560	brand.tertiary.90
Gold	Tertiary	100	#a2856f	brand.tertiary.100
Gold	Neutral	10	#161616	brand.neutral.10
Gold	Neutral	20	#252525	brand.neutral.20
Gold	Neutral	30	#343535	brand.neutral.30
Gold	Neutral	40	#454546	brand.neutral.40
Gold	Neutral	50	#565657	brand.neutral.50
Gold	Neutral	60	#686869	brand.neutral.60
Gold	Neutral	70	#7a7b7b	brand.neutral.70
Gold	Neutral	80	#8d8e8e	brand.neutral.80
Gold	Neutral	90	#a1a1a2	brand.neutral.90
Gold	Neutral	100	#b5b5b5	brand.neutral.100
